Country;Site;Place;Plot;Subplot;X;Y;Z;Z.Classe;Date;Species;LLS;HT;Age.Classe;B;B.pour;H;D;Pourc.shrubs;Pourc.herbs;Faeces;Livestock;Notes;Ungulate.species;Ungulate.data.sources;Tags.France;plot_disturb;Dead;Height;Age;Length.last.shoot;Prec;Tmean;Tmean456;prec1;prec2;prec3;prec4;prec5;prec6;prec7;prec8;prec9;prec10;prec11;prec12;tmin1;tmin2;tmin3;tmin4;tmin5;tmin6;tmin7;tmin8;tmin9;tmin10;tmin11;tmin12;tmax1;tmax2;tmax3;tmax4;tmax5;tmax6;tmax7;tmax8;tmax9;tmax10;tmax11;tmax12;tmean1;tmean2;tmean3;tmean4;tmean5;tmean6;tmean7;tmean8;tmean9;tmean10;tmean11;tmean12;Press.ong;Kg.IM.100ha;Kg.CS.100ha;tm_new_dec;tm_new_jan;tm_new_fev
France;Chartreuse;;1C3;.4.3;5.736302189;45.32390621;1441;3;2010;ACPS;1.3;8.7;2;0;;15;;31;20;;;;;;;;0;8.7;2;1.3;1253.60432;1.487027604;3.014984;110.33684;99.86746;110.4615;92.82408;113.6701;111.1469;81.50247;94.88177;100.6689;108.5126;110.4548;119.2769;-6.750224;-6.161407;-3.318284;-0.41172;3.223059;6.487889;8.611428;8.315467;6.192576;2.186426;-1.8346856;-5.328549;0.4240205;1.444595;5.404559;8.673386;12.94113;16.72606;19.53882;18.85519;15.69153;10.35282;4.925302;1.125121;-3.16310175;-2.358406;-0.6728325;0.961581;3.095453;4.987918;6.394298;6.052483;4.470653;1.801298;-0.912461;-2.8125515;-0.24;382.5075;4.62;-2.2125515;-4.76310175;-2.458406
France;Chartreuse;;1C3;.4.3;5.736302189;45.32390621;1441;3;2010;PIAB;3.5;3.5;1;0;;87.5;;31;20;;;;;;;;0;3.5;1;3.5;1253.60432;1.487027604;3.014984;110.33684;99.86746;110.4615;92.82408;113.6701;111.1469;81.50247;94.88177;100.6689;108.5126;110.4548;119.2769;-6.750224;-6.161407;-3.318284;-0.41172;3.223059;6.487889;8.611428;8.315467;6.192576;2.186426;-1.8346856;-5.328549;0.4240205;1.444595;5.404559;8.673386;12.94113;16.72606;19.53882;18.85519;15.69153;10.35282;4.925302;1.125121;-3.16310175;-2.358406;-0.6728325;0.961581;3.095453;4.987918;6.394298;6.052483;4.470653;1.801298;-0.912461;-2.8125515;-0.3;382.5075;4.62;-2.2125515;-4.76310175;-2.458406
France;Chartreuse;;1C3;.4.3;5.736302189;45.32390621;1441;3;2010;ACPS;1.3;6.8;2;0;;6.666666667;;31;20;;;;;;1C3_.4.3_ACPS_b6;;0;6.8;2;1.3;1253.60432;1.487027604;3.014984;110.33684;99.86746;110.4615;92.82408;113.6701;111.1469;81.50247;94.88177;100.6689;108.5126;110.4548;119.2769;-6.750224;-6.161407;-3.318284;-0.41172;3.223059;6.487889;8.611428;8.315467;6.192576;2.186426;-1.8346856;-5.328549;0.4240205;1.444595;5.404559;8.673386;12.94113;16.72606;19.53882;18.85519;15.69153;10.35282;4.925302;1.125121;-3.16310175;-2.358406;-0.6728325;0.961581;3.095453;4.987918;6.394298;6.052483;4.470653;1.801298;-0.912461;-2.8125515;-0.24;382.5075;4.62;-2.2125515;-4.76310175;-2.458406
France;Chartreuse;;1C3;.4.4;5.736302189;45.32390621;1441;3;2010;PIAB;2;2;1;0;;;;20;40;;;;;;;;0;2;1;2;1253.60432;1.487027604;3.014984;110.33684;99.86746;110.4615;92.82408;113.6701;111.1469;81.50247;94.88177;100.6689;108.5126;110.4548;119.2769;-6.750224;-6.161407;-3.318284;-0.41172;3.223059;6.487889;8.611428;8.315467;6.192576;2.186426;-1.8346856;-5.328549;0.4240205;1.444595;5.404559;8.673386;12.94113;16.72606;19.53882;18.85519;15.69153;10.35282;4.925302;1.125121;-3.16310175;-2.358406;-0.6728325;0.961581;3.095453;4.987918;6.394298;6.052483;4.470653;1.801298;-0.912461;-2.8125515;-0.3;382.5075;4.62;-2.2125515;-4.76310175;-2.458406
France;Chartreuse;;1C3;.4.4;5.736302189;45.32390621;1441;3;2010;ACPS;0.5;6.2;2;0;;2.5;;20;40;;;;;;1C3_.4.4_ACPS_b7;;0;6.2;2;0.5;1253.60432;1.487027604;3.014984;110.33684;99.86746;110.4615;92.82408;113.6701;111.1469;81.50247;94.88177;100.6689;108.5126;110.4548;119.2769;-6.750224;-6.161407;-3.318284;-0.41172;3.223059;6.487889;8.611428;8.315467;6.192576;2.186426;-1.8346856;-5.328549;0.4240205;1.444595;5.404559;8.673386;12.94113;16.72606;19.53882;18.85519;15.69153;10.35282;4.925302;1.125121;-3.16310175;-2.358406;-0.6728325;0.961581;3.095453;4.987918;6.394298;6.052483;4.470653;1.801298;-0.912461;-2.8125515;-0.24;382.5075;4.62;-2.2125515;-4.76310175;-2.458406
France;Chartreuse;;1C3;.4.4;5.736302189;45.32390621;1441;3;2010;ACPS;1.9;9.1;2;0;;2.5;;20;40;;;;;;1C3_.4.4_ACPS_b8;;0;9.1;2;1.9;1253.60432;1.487027604;3.014984;110.33684;99.86746;110.4615;92.82408;113.6701;111.1469;81.50247;94.88177;100.6689;108.5126;110.4548;119.2769;-6.750224;-6.161407;-3.318284;-0.41172;3.223059;6.487889;8.611428;8.315467;6.192576;2.186426;-1.8346856;-5.328549;0.4240205;1.444595;5.404559;8.673386;12.94113;16.72606;19.53882;18.85519;15.69153;10.35282;4.925302;1.125121;-3.16310175;-2.358406;-0.6728325;0.961581;3.095453;4.987918;6.394298;6.052483;4.470653;1.801298;-0.912461;-2.8125515;-0.24;382.5075;4.62;-2.2125515;-4.76310175;-2.458406
France;Chartreuse;;1C3;.4.4;5.736302189;45.32390621;1441;3;2010;PIAB;2.7;2.7;1;0;;;;20;40;;;;;;;;0;2.7;1;2.7;1253.60432;1.487027604;3.014984;110.33684;99.86746;110.4615;92.82408;113.6701;111.1469;81.50247;94.88177;100.6689;108.5126;110.4548;119.2769;-6.750224;-6.161407;-3.318284;-0.41172;3.223059;6.487889;8.611428;8.315467;6.192576;2.186426;-1.8346856;-5.328549;0.4240205;1.444595;5.404559;8.673386;12.94113;16.72606;19.53882;18.85519;15.69153;10.35282;4.925302;1.125121;-3.16310175;-2.358406;-0.6728325;0.961581;3.095453;4.987918;6.394298;6.052483;4.470653;1.801298;-0.912461;-2.8125515;-0.3;382.5075;4.62;-2.2125515;-4.76310175;-2.458406
France;Chartreuse;;1C3;.4.4;5.736302189;45.32390621;1441;3;2010;ACPS;2.5;27.7;6;0;;2.5;;20;40;;;;;;;;0;27.7;6;2.5;1253.60432;1.487027604;3.014984;110.33684;99.86746;110.4615;92.82408;113.6701;111.1469;81.50247;94.88177;100.6689;108.5126;110.4548;119.2769;-6.750224;-6.161407;-3.318284;-0.41172;3.223059;6.487889;8.611428;8.315467;6.192576;2.186426;-1.8346856;-5.328549;0.4240205;1.444595;5.404559;8.673386;12.94113;16.72606;19.53882;18.85519;15.69153;10.35282;4.925302;1.125121;-3.16310175;-2.358406;-0.6728325;0.961581;3.095453;4.987918;6.394298;6.052483;4.470653;1.801298;-0.912461;-2.8125515;-0.24;382.5075;4.62;-2.2125515;-4.76310175;-2.458406
France;Chartreuse;;1C3;.4.4;5.736302189;45.32390621;1441;3;2010;ACPS;1.1;5.3;2;0;;;;20;40;;;;;;;;0;5.3;2;1.1;1253.60432;1.487027604;3.014984;110.33684;99.86746;110.4615;92.82408;113.6701;111.1469;81.50247;94.88177;100.6689;108.5126;110.4548;119.2769;-6.750224;-6.161407;-3.318284;-0.41172;3.223059;6.487889;8.611428;8.315467;6.192576;2.186426;-1.8346856;-5.328549;0.4240205;1.444595;5.404559;8.673386;12.94113;16.72606;19.53882;18.85519;15.69153;10.35282;4.925302;1.125121;-3.16310175;-2.358406;-0.6728325;0.961581;3.095453;4.987918;6.394298;6.052483;4.470653;1.801298;-0.912461;-2.8125515;-0.24;382.5075;4.62;-2.2125515;-4.76310175;-2.458406
France;Chartreuse;;1C3;.4.4;5.736302189;45.32390621;1441;3;2010;PIAB;3;3;1;0;;;;20;40;;;;;;;;0;3;1;3;1253.60432;1.487027604;3.014984;110.33684;99.86746;110.4615;92.82408;113.6701;111.1469;81.50247;94.88177;100.6689;108.5126;110.4548;119.2769;-6.750224;-6.161407;-3.318284;-0.41172;3.223059;6.487889;8.611428;8.315467;6.192576;2.186426;-1.8346856;-5.328549;0.4240205;1.444595;5.404559;8.673386;12.94113;16.72606;19.53882;18.85519;15.69153;10.35282;4.925302;1.125121;-3.16310175;-2.358406;-0.6728325;0.961581;3.095453;4.987918;6.394298;6.052483;4.470653;1.801298;-0.912461;-2.8125515;-0.3;382.5075;4.62;-2.2125515;-4.76310175;-2.458406
